local,longitud,latitud,denominacion,tipo
HCI,-58.78852,-34.378674,BELÉN DE ESCOBAR/CABAÑA SAN ISIDRO LABRADOR I,Helipuerto
HCL,-70.513907,-39.884782,CATAN LIL/EA. SANTA ISABEL,Helipuerto
HCN,-64.439904,-32.229454,EMBALSE/CENTRAL NUCLEAR,Helipuerto
HCO,-59.315902,-34.232743,CHENAUT/EL CAPRICHO,Helipuerto
HCP,-68.572493,-52.738661,YACIMIENTO CAÑADON ALFA/TOTAL AUSTRAL S.A.,Helipuerto
HCR,-68.579397,-33.099208,BARREALES - GRAN MENDOZA/TRANSENER S.A.,Helipuerto
HCS,-59.170276,-34.307048,CAPILLA DEL SEÑOR/LAS ARAUCARIAS,Helipuerto
HCT,-58.999307,-34.174379,CAMPANA/TRANSENER S.A.,Helipuerto
HCU,-64.190266,-31.440805,CÓRDOBA/CIUDAD UNIVERSITARIA,Helipuerto
HCV,-68.408453,-52.330311,CABO VÍRGENES/BRM CABO VÍRGENES,Helipuerto
HDA,-58.351532,-34.627862,BUENOS AIRES/DARSENA SUR,Helipuerto
HDI,-58.400458,-34.572579,BUENOS AIRES/DINES DR. E. ESCUDERO,Helipuerto
HDL,-71.16995,-39.815579,JUNÍN DE LOS ANDES/CASA DE LATA,Helipuerto
HDR,-60.709211,-32.851806,GRANADERO BAIGORRIA/HOSPITAL R. CARRILLO,Helipuerto
HDS,-61.74777778,-36.31527778,HENDERSON,Aeródromo
HDT,-58.608031,-34.496085,DON TORCUATO/TIMEN S.A.,Helipuerto
HEA,-68.127778,-52.608333,HELIPLATAFORMA AM6,Helipuerto
HEC,-57.991881,-34.940786,LA PLATA/ECODYMA S.C.A.,Helipuerto
HEN,-68.266107,-53.32299,BAHÍA SAN SEBASTIÁN/PLANTA CRUZ DEL SUR,Helipuerto
HES,-68.041944,-52.683056,ARIES/TOTAL FINA,Helipuerto
HET,-64.265127,-27.781396,SANTIAGO DEL ESTERO/HELIPUERTO EDIFICIO TRIBUNALES,Helipuerto
HEV,-58.384984,-34.834672,ALMIRANTE BROWN/DESTACAMENTO POLICIAL EL VAPOR,Helipuerto
HFA,-58.368051,-34.58598,BUENOS AIRES/FUERZA AÉREA,Helipuerto
HFC,-65.495501,-24.770405,SALTA/FINCA LAS COSTAS,Helipuerto
HFV,-58.250221,-34.916875,FLORENCIO VARELA/COLONIA LA CAPILLA,Helipuerto
HGA,-58.788161,-35.058342,CAÑUELAS/CAÑUELAS GAS S.A.,Helipuerto
HGB,-65.451084,-24.780762,SALTA/CENTRO CÍVICO GRAND BOURG,Helipuerto
HGM,-58.658271,-34.776299,GONZALEZ CATÁN/LAR DE PAZ S.A.,Helipuerto
HGN,-58.374528,-34.582445,BUENOS AIRES/CENTINELA,Helipuerto
HGS,-61.3375,-33.81111111,HUGHES/PLUS AGROSERVICIOS AÉREOS,Aeródromo
HHL,-70.677494,-38.548178,LAS LAJAS/EA. HAYCHOL,Helipuerto
HHM,-65.415621,-24.772921,SALTA/HOSPITAL DE MILAGRO,Helipuerto
HHT,-58.606915,-34.492668,DON TORCUATO/TECNOCOPTER S.A.,Helipuerto
HHW,-58.751782,-34.634199,MORENO/HELIWEST,Helipuerto
HIL,-63.079953,-35.081749,GRAL. VILLEGAS/SAN ISIDRO LABRADOR II,Helipuerto
